,Origin,Date,mta_ridership,uber_ridership
117,Bedford,2015-10,956350.0,3962.0
118,Bedford,2015-11,758622.0,3775.0
119,Bedford,2015-12,796345.0,4190.0
120,Bedford,2016-01,775601.0,4255.0
121,Bedford,2016-02,801073.0,3925.0
122,Bedford,2016-03,963382.0,4803.0
123,Bedford,2016-04,889140.0,4394.0
124,Bedford,2016-05,924165.0,4694.0
125,Bedford,2016-06,914161.0,5034.0
126,Bedford,2016-07,798209.0,4975.0
127,Bedford,2016-08,869332.0,6132.0
128,Bedford,2016-09,921300.0,6778.0
129,Bedford,2016-10,902682.0,6851.0
130,Bedford,2016-11,853734.0,8149.0
131,Bedford,2016-12,774518.0,8855.0
132,Bedford,2017-01,815186.0,8923.0
133,Bedford,2017-02,759767.0,7701.0
134,Bedford,2017-03,954783.0,9401.0
135,Bedford,2017-04,841438.0,8322.0
136,Bedford,2017-05,981955.0,9830.0
137,Bedford,2017-06,922390.0,9454.0
138,Bedford,2017-07,796753.0,8939.0
139,Bedford,2017-08,897026.0,10756.0
140,Bedford,2017-09,895678.0,9772.0
141,Bedford,2017-10,993337.0,10488.0
142,Bedford,2017-11,879886.0,11718.0
143,Bedford,2017-12,745059.0,10842.0
144,Bensonhurst East,2015-01,538332.0,172.0
145,Bensonhurst East,2015-02,533433.0,236.0
146,Bensonhurst East,2015-03,654647.0,273.0
147,Bensonhurst East,2015-04,633954.0,255.0
148,Bensonhurst East,2015-05,607885.0,268.0
149,Bensonhurst East,2015-06,635942.0,331.0
150,Bensonhurst East,2015-07,626106.0,360.0
151,Bensonhurst East,2015-08,565642.0,387.0
152,Bensonhurst East,2015-09,622430.0,461.0
153,Bensonhurst East,2015-10,677418.0,575.0
154,Bensonhurst East,2015-11,593827.0,580.0
155,Bensonhurst East,2015-12,618186.0,640.0
156,Bensonhurst East,2016-01,556697.0,789.0
157,Bensonhurst East,2016-02,570023.0,1094.0
158,Bensonhurst East,2016-03,690203.0,1421.0
159,Bensonhurst East,2016-04,615802.0,1285.0
160,Bensonhurst East,2016-05,647205.0,1369.0
161,Bensonhurst East,2016-06,633203.0,1325.0
162,Bensonhurst East,2016-07,558621.0,1182.0
163,Bensonhurst East,2016-08,617730.0,1473.0
164,Bensonhurst East,2016-09,632020.0,1635.0
165,Bensonhurst East,2016-10,605674.0,1837.0
166,Bensonhurst East,2016-11,610342.0,2531.0
167,Bensonhurst East,2016-12,579363.0,3066.0
168,Bensonhurst East,2017-01,575389.0,3039.0
169,Bensonhurst East,2017-02,542597.0,3271.0
170,Bensonhurst East,2017-03,647744.0,4714.0
171,Bensonhurst East,2017-04,547618.0,3620.0
172,Bensonhurst East,2017-05,650667.0,4549.0
173,Bensonhurst East,2017-06,589614.0,4081.0
174,Bensonhurst East,2017-07,512744.0,3664.0
175,Bensonhurst East,2017-08,569816.0,4404.0
176,Bensonhurst East,2017-09,556996.0,4426.0
177,Bensonhurst East,2017-10,601742.0,5115.0
178,Bensonhurst East,2017-11,563013.0,5818.0
179,Bensonhurst East,2017-12,505539.0,5668.0
180,Bensonhurst West,2015-01,693789.0,181.0
181,Bensonhurst West,2015-02,686890.0,281.0
182,Bensonhurst West,2015-03,843747.0,301.0
183,Bensonhurst West,2015-04,836354.0,316.0
184,Bensonhurst West,2015-05,787970.0,308.0
185,Bensonhurst West,2015-06,818329.0,346.0
186,Bensonhurst West,2015-07,820537.0,377.0
187,Bensonhurst West,2015-08,737163.0,457.0
188,Bensonhurst West,2015-09,814176.0,578.0
189,Bensonhurst West,2015-10,873583.0,717.0
190,Bensonhurst West,2015-11,753568.0,723.0
191,Bensonhurst West,2015-12,784700.0,849.0
192,Bensonhurst West,2016-01,722654.0,959.0
193,Bensonhurst West,2016-02,758658.0,1165.0
194,Bensonhurst West,2016-03,912958.0,1576.0
195,Bensonhurst West,2016-04,823022.0,1431.0
196,Bensonhurst West,2016-05,861509.0,1734.0
197,Bensonhurst West,2016-06,842336.0,1667.0
198,Bensonhurst West,2016-07,741011.0,1552.0
199,Bensonhurst West,2016-08,821588.0,1758.0
200,Bensonhurst West,2016-09,842549.0,1981.0
201,Bensonhurst West,2016-10,822999.0,2298.0
202,Bensonhurst West,2016-11,809006.0,2961.0
203,Bensonhurst West,2016-12,762456.0,3492.0
204,Bensonhurst West,2017-01,761623.0,3390.0
205,Bensonhurst West,2017-02,719238.0,3774.0
206,Bensonhurst West,2017-03,869555.0,5265.0
207,Bensonhurst West,2017-04,752283.0,4452.0
208,Bensonhurst West,2017-05,860934.0,5664.0
209,Bensonhurst West,2017-06,783547.0,4779.0
210,Bensonhurst West,2017-07,698145.0,4330.0
211,Bensonhurst West,2017-08,770726.0,5122.0
212,Bensonhurst West,2017-09,778430.0,4951.0
213,Bensonhurst West,2017-10,847534.0,6015.0
214,Bensonhurst West,2017-11,772911.0,6599.0
215,Bensonhurst West,2017-12,706440.0,6455.0
